Month,Orders
2021-01-13,80
2019-07-20,5
2020-10-29,10
2019-11-14,31
2019-12-29,56
2022-09-09,162
2021-05-15,90
2021-05-01,45
2019-02-19,143
2021-09-15,182
2022-02-20,165
2021-04-15,66
2022-05-15,122
2020-08-02,26
2019-09-06,76
2020-05-09,147
2019-03-02,119
2021-02-03,148
2019-09-17,15
2019-05-20,102
2019-10-17,28
2022-08-30,63
2020-07-03,45
2022-09-14,57
2022-06-25,54
2019-04-02,15
2020-03-05,192
2021-11-09,140
2020-08-27,130
2020-08-23,87
2020-02-08,149
2019-03-08,43
2019-02-03,153
2022-12-05,101
2019-05-31,150
2020-11-30,33
2022-01-28,104
2020-06-20,161
2019-01-20,188
2019-01-16,14
2022-03-31,5
2021-12-06,89
2019-08-08,149
2021-12-27,111
2019-02-03,92
2021-04-11,188
2021-01-30,89
2022-07-12,81
2021-04-10,186
2020-08-21,174
2019-12-31,2
2019-03-02,4
2021-04-23,46
2020-09-14,88
2020-09-04,36
2022-12-09,99
2022-07-09,142
2021-03-15,195
2020-01-09,192
2020-05-20,173
2019-09-27,2
2022-07-13,146
2019-05-19,72
2020-11-07,156
2021-08-05,118
2022-01-10,162
2019-09-03,1
2020-09-24,2
2021-06-27,46
2019-02-03,95
2020-05-19,132
2022-04-03,58
2020-03-11,65
2021-11-09,39
2022-07-02,110
2022-01-19,198
2019-11-24,102
2022-10-16,24
2021-03-10,147
2020-07-31,144
2020-06-08,54
2021-04-06,151
2021-09-06,53
2021-10-17,36
2022-09-13,22
2020-08-30,135
2022-07-31,133
2022-08-10,78
2022-02-26,112
2022-01-25,150
2019-03-20,160
2022-07-11,53
2021-01-21,70
2020-08-08,42
2020-11-10,109
2019-03-09,71
2020-10-26,11
2021-03-02,188
2022-07-16,144
2020-05-01,147
2022-06-08,137
2020-12-17,178
2021-11-24,10
2021-08-25,194
2020-07-27,78
2022-10-15,91
2020-06-14,151
2019-10-03,167
2019-04-26,38
2021-12-07,52
2020-09-23,31
2021-03-30,94
2021-01-06,110
2020-08-16,171
2019-08-25,139
2019-03-03,84
2019-07-07,3
2019-07-25,71
2019-09-18,11
2020-10-17,30
2019-11-09,13
2021-09-02,42
2021-08-31,160
2020-08-19,85
2020-03-17,87
2022-07-10,42
2022-09-27,200
2022-12-16,54
2020-05-20,14
2020-11-23,55
2020-02-29,172
2021-02-02,87
2022-03-19,115
2019-03-07,124
2022-10-15,69
2019-04-12,165
2019-12-28,35
2021-09-29,70
2022-06-27,104
2022-09-27,188
2020-11-22,142
2022-05-07,116
2021-07-26,124
2021-03-04,123
2020-08-14,6
2020-04-28,2
2021-07-07,88
2020-10-02,57
2020-05-16,82
2020-03-24,149
2020-10-31,98
2021-04-18,188
2019-11-02,37
2021-09-12,112
2020-05-22,136
2022-06-23,18
2020-07-03,28
2020-11-03,133
2019-07-18,164
2019-05-13,23
2019-04-18,30
2020-05-18,15
2021-09-25,70
2021-07-29,10
2021-09-26,2
2020-10-21,164
2021-03-13,144
2022-12-04,99
2020-09-19,187
2020-02-02,94
2021-12-12,185
2020-01-03,37
2022-08-04,186
2021-06-20,174
2020-05-13,29
2022-11-05,140
2022-07-09,21
2022-12-29,48
2021-11-08,185
2019-02-11,153
2020-12-02,16
2021-10-11,92
2021-12-02,166
2020-01-05,106
2019-11-24,82
2021-04-21,94
2020-04-17,155
2021-04-28,31
2021-03-15,130
2019-12-12,17
2020-07-12,182
2022-07-29,91
2019-05-19,123
2021-09-29,182
2021-01-08,140
2019-08-15,133
2020-10-12,70
2019-06-04,114
2022-03-21,148
2022-10-20,137
2022-05-17,165
2019-12-20,6
2020-02-28,24
2021-05-22,179
2020-09-12,120
2019-05-06,156
2021-06-01,14
2019-01-29,162
2020-01-02,145
2020-11-23,96
2022-09-01,140
2020-12-25,187
2022-09-14,72
2022-03-11,56
2020-12-16,39
2022-01-15,138
2022-11-24,91
2021-12-09,113
2022-05-25,154
2022-11-20,156
2022-01-25,111
2020-10-25,46
2019-06-26,169
2022-11-07,165
2022-01-15,148
2019-05-19,139
2019-06-14,102
2020-08-04,84
2019-01-28,49
2021-08-13,92
2019-06-02,30
2019-04-03,40
2021-07-09,200
2022-12-11,167
2019-01-31,47
2022-02-19,97
2019-03-01,146
2022-11-04,169
2021-11-16,27
2022-04-18,145
2022-07-06,198
2020-11-10,84
2021-08-20,168
2022-03-31,77
2021-05-13,51
2021-09-03,53
2019-07-14,149
2020-04-15,84
2020-08-24,188
2021-11-03,110
2022-04-01,4
2021-05-26,74
2022-11-08,91
2022-09-30,141
2020-07-31,121
2021-01-21,69
2020-11-26,88
2022-03-14,8
2021-10-02,8
2020-05-27,125
2022-06-21,30
2022-02-11,79
2021-08-13,125
2019-11-03,69
2022-02-12,88
2021-02-26,58
2021-01-03,49
2020-11-02,168
2020-12-15,111
2019-11-16,165
2022-12-14,135
2021-05-25,26
2022-11-11,29
2019-12-14,183
2021-01-30,2
2019-04-21,174
2021-01-27,94
2020-11-29,93
2021-04-18,103
2020-12-04,105
2020-04-12,10
2021-03-24,33
2019-11-14,145
2020-10-03,91
2021-11-03,123
2021-07-22,79
2020-01-18,84
2020-12-18,175
2020-10-31,11
2022-03-05,149
2021-07-15,9
2022-09-29,167
2021-09-21,151
2019-09-01,172
2019-02-18,135
2020-02-20,99
2021-02-16,66
2019-11-13,27
2022-01-29,120
2019-04-03,147
2020-06-08,76
2019-09-11,1
2022-01-09,70
2021-01-03,123
2020-12-07,198
2021-08-13,126
2022-07-13,153
2021-01-07,102
2021-02-07,160
2020-04-19,51
2022-06-18,194
2022-07-15,118
2020-05-09,162
2019-04-24,32
2021-09-03,175
2019-06-22,21
2019-04-13,110
2022-02-24,45
2019-10-01,38
2022-05-27,172
2020-05-01,113
2021-06-15,145
2020-08-06,90
